edate,AH3,AH1
2011-02,0,37817.5723083367
2011-03,0,65364.2984825752
2011-04,24422.2590556899,73266.7771670696
2011-05,0,44176.3828231427
2011-06,20197.6704168101,30296.5056252151
2011-07,341546.400211434,18562.3043593171
2011-08,833237.759286416,9802.79716807548
2011-09,925911.464814275,6012.4121091836
2011-10,308079.591443504,7701.98978608759
2011-11,62993.4727034721,10498.9121172454
2011-12,153182.470315002,66379.070469834
2012-01,34700.8732984311,26025.6549738233
2012-02,11909.3345897366,5954.66729486832
2012-03,5770.71787076006,23082.8714830403
2012-04,8865.43981849446,13298.1597277417
2012-05,0,4960.97646533279
2012-06,26045.7618767403,16278.6011729627
2012-07,13836.6656130859,103774.992098145
2012-08,28531.5859726626,348085.348866484
2012-09,58988.2612228365,381154.918670636
2012-10,29527.1369487314,253933.37775909
2012-11,65883.3021538853,75295.2024615832
2012-12,249487.411803671,29010.1641632175
2013-01,264054.115310559,80683.2019004487
2013-02,265825.927970258,10424.5461949121
2013-03,117261.827747321,34043.7564427706
2013-04,55346.2996413335,9224.38327355558
2013-05,47222.3179136068,0
2013-06,83512.2724443023,6959.3560370252
2013-07,167793.671240978,5593.12237469926
2013-08,168743.875046438,16874.3875046438
2013-09,239072.770548776,6830.65058710789
2013-10,230560.661501645,11528.0330750823
2013-11,255733.255450199,30864.3584164033
2013-12,222192.476243943,36276.3226520723
2014-01,202153.599873533,129955.885632985
2014-02,110273.364638205,426709.976208705
2014-03,55081.2616937713,306881.315151012
2014-04,2987.0750150169,128444.225645727
2014-05,14572.8018746139,174873.622495367
2014-06,29342.9859166239,62353.8450728258
2014-07,52063.0492629537,52063.0492629537
2014-08,100572.74156725,11604.5471039135
2014-09,49106.4335148863,28060.8191513636
2014-10,61209.3649595736,61209.3649595736
2014-11,217124.768907016,0
2014-12,290566.236270639,16142.5686817022
2015-01,227724.184650491,0
2015-02,238183.034313531,59545.7585783829
2015-03,230877.052679516,103894.673705782
2015-04,192295.003880894,32049.1673134823
2015-05,180981.30367485,0
2015-06,147224.597742735,127594.651377037
2015-07,155484.418660429,11106.0299043164
2015-08,221359.245952173,21081.832947826
2015-09,231459.585406212,30190.3807051581
2015-10,245332.993473714,12266.6496736857
2015-11,232783.540108452,0
2015-12,134427.133154391,0
2016-01,23698.2088413545,23698.2088413545
2016-02,150662.806399413,128063.385439501
2016-03,23713.2517998443,203933.965478661
2016-04,50087.2131567961,187243.655143408
2016-05,76461.174513748,170553.344808155
2016-06,102835.1358707,153863.034472902
2016-07,129209.097227652,137172.724137649
2016-08,155583.058584604,120482.413802396
2016-09,181957.019941556,103792.103467144
2016-10,208330.981298507,87101.7931318906
2016-11,234704.942655459,70411.4827966378
2016-12,182141.201877401,12561.4621984415
2017-01,162859.844529746,0
2017-02,23442.1685931117,0
2017-03,6797.83209505368,13595.6641901074
2017-04,73711.6714021712,44227.0028413028
2017-05,67556.1231920161,46769.6237483188
2017-06,147199.708038342,110399.781028757
2017-07,166056.294128315,140225.315041688
2017-08,431696.093042038,234860.56875344
2017-09,389909.735968618,135066.771283247
2017-10,285558.772814272,81588.2208040777
2017-11,100785.197735576,29395.6826728764
2017-12,70048.6518509209,76416.7111100955
2018-01,205416.720578865,94149.3302653132
2018-02,136911.154820895,93099.5852782084
2018-03,64841.641727408,129683.283454816
2018-04,21318.3277058701,122580.384308753
2018-05,13162.4264730508,118461.838257458
2018-06,57635.8908983934,224139.575715974
2018-07,39530.9391617507,282363.851155362
2018-08,69075.6477932218,358329.922927338
2018-09,158217.344248846,281626.872762946
2018-10,75371.7202623244,259613.703125784
2018-11,65480.6814944518,149670.129130175
2018-12,65480.6814944518,149670.129130175
